Comment,Predicted Class,Label
love sir,positive,1
please make video onmidpoint circle draw bresenham 's circle draw,imperative,5
bought course udemy be talented teacher kep produce quality material be java course come along ? be lok forward,interrogative,4
thank much realy get first video algorithm without explanation lol,positive,1
hope be ok everything go muslim indea,miscellaneous,6
another great explanation abdul sir thank much,positive,1
do have take note se video which be helpful,interrogative,4
have no idea what be go first one but one clear everything,positive,1
one sugestion posible can provide link github link implementation video wel i 've try watch video implement java but every time mes want croscheck implementation be no reference code would help lot can post link implementation algorithm thank,interrogative,4
thank you so so much sir,positive,1
be absolute genius extremely helpful understand content much wel profesor university thank much btw can probably publish video dp how create dp formula ? be problem diferent kind dp problem formula create would publish video np np complete ? watch video do np np complete problem but do not talk how prove problem be np complete detail how use reduction prove it ?,interrogative,4
great job,positive,1
thank sir,positive,1
thank much,positive,1
sir realy great job god may richly bles family much love,positive,1
love be wear red video be update briliant,positive,1
wonderful explanation straight heaven,positive,1
waw first video get confusionbut video have get much,positive,1
thank sir,positive,1
sir please upload aproximation algorithm video also abdulbari,imperative,5
aslamualikum dear honorable sir can know,interrogative,4
main apki jitni prashansa karu kam hai,positive,1
love man,positive,1
swear savior every single c student god bles,positive,1
sir thank much botom heart work help alot,positive,1
thank respect core heart,positive,1
thanks lot abdul bari sir be best,positive,1
sir be much genuine make video topic be not convince previous onehe thought u might problem hats man thank sir,positive,1
thankyou sir,positive,1
have tremendous teach skil abdul thank much,positive,1
sir can please explain online algorithm online euclidean span tre problem solve gredy method online server problem gredy algorithm solve problem define planar tre,interrogative,4
one best dynamic program video,positive,1
please please someone explain find optimal parenthesization matrixchain product whose sequence dimension be,interrogative,4
asalamughlikom sir sir have tutorial python program pakistani teacher folow be student computer science th semester,positive,1
never ever ever ever heard interest extremely informative lecture year student c,positive,1
god,positive,1
amaze explanation sirhats thank work,positive,1
matrix multiplication matrix chain multiplication example problem time complexity hope wil help,miscellaneous,6
sir be god be wait next video pl make son sir,imperative,5
example,miscellaneous,6
sir please delete first oneit wil quite helpful save time,imperative,5
best algorithm teacher youtube,positive,1
love explanation sir,positive,1
may go washrom please,interrogative,4
lacoste,miscellaneous,6
wil not,corrective,3
nice explanation sirafter watch get interested enrol cource udemy,positive,1
be king sir,positive,1
what value table be put parentize be final answer ?,interrogative,4
sir kindly delete video be create bit confusion but be awesome first show how actual matrix multiplication be do derive formula which give u clear understand clas spend nearly hour derive but fail understand but give clear understand fel worth watch video thank much,positive,1
side ho jaya kijiye sir screnshot,miscellaneous,6
ye sir hindi bole bahut acha rahega kyu apne desh bahut por people hai jo clas efort nahi kr pate hai soi have request sir please speak hindi,imperative,5
smile end,positive,1
please consider make previous video private unlist abdul bari,imperative,5
best teacher one could ask love video,positive,1
operating system computer network computer organization plz create video,imperative,5
time sir sum be not sir,corrective,3
want ad praise video excelent teach abdul,positive,1
thank much,positive,1
realy fantastic thank alot,positive,1
best da teacher ever subscribe right,positive,1
thank sir,positive,1
hey,miscellaneous,6
thank sir,positive,1
tutorial be amaze thanks,positive,1
king algorithm complement silent fan sir abdul bari pakistan,positive,1
save exam,positive,1
mind blowing sir,positive,1
thank siryou save,positive,1
mr bari se would like thank best teacher platform have recently purchase udemy course would like expres gratitude video be comprehensive unique teach style be dedicate teacher go data structure algorithmic content thank,positive,1
sir wil please make detail video expresion tre how can write program,interrogative,4
king be back,positive,1
thank upload new video topic explain everything much clearly,positive,1
nice explanation sir,positive,1
great method explain every topic,positive,1
helo sir plz make video red black tre,imperative,5
excelent video,positive,1
sir use best teacher iz muched love but nowadays cir can not se board fat please slim sir but learn everyday board exam wel do sir many thank,positive,1
thank abdul bari video leson be welstructured aproachable would recomend video student near future thank,positive,1
thnaks lot sir give u best stuf not particular subject but also get ready clear topicthank much,positive,1
sir java video be incomplete please upload video java udemy can buy,imperative,5
be no requirement subtitle work obstacle watch low content white board,miscellaneous,6
thank sir provide content fre please upload morewe ned sir be amaze huge respect sir,positive,1
sir can say no one can teach topic wel way have taught teach skil peak sir thanks,positive,1
can use gredy algorithm this ?,interrogative,4
thanks lot sir,positive,1
be bangladeshyou be one best teacher algorithm learn cary,positive,1
sir thought no one wil watch whole video edit sir be awesome watch video til end,positive,1
abdul bari want ask doubt kindly provide platform can discus doubt please sir,imperative,5
be great data structure algorithm teacher have ever se amaze explanationthank sir,positive,1
best video matrix chain multiplication,positive,1
solid explanation solid personthanks lot sir,positive,1
sir python pe video banaye sir can explan every thing wel,positive,1
sir which course be come udemy please,interrogative,4
hi sir be sri lekha chenai have doubt regard dp problem ques dp solution be easy but know how work could please explain logic sir i 'm lok explanation thanks advance,interrogative,4
great explanation easy method teach,positive,1
that 's great teach technique be amaze thanks lot make video another topic subject gtu sylabus,imperative,5
get teacheris mater fortune every student,positive,1
be awesome thanks video,positive,1
sir please can upload video machine learn have subject semester be not much data available anywhereif posible please try,imperative,5
nice explanation,positive,1
thankyou much sir invest another hour topic thankyouso much,positive,1
one day examination talk,miscellaneous,6
best teacher,positive,1
sir buy course master data structure algorithm use that 's available life time specific timeduration ? be interested buy course which available udemy,interrogative,4
smoth buter,positive,1
lengthy one but worth,positive,1
be amaze teacher,positive,1
sir have purchase course sir please make detailed course java python lecture be great,positive,1
best video ever,positive,1
